num_epochs,approx_TV,ratios_max,ratios_mean,learning_rate,num_agents,clip_range,ratios_min
0,0.0,1.0,1.0,0.0005,5,0.3,1.0
1,0.01818903163075447,1.029529094696045,0.9996491074562073,0.0005,5,0.3,0.9731912016868591
2,0.03832104429602623,1.0628283023834229,0.9992616772651672,0.0005,5,0.3,0.9444547891616821
3,0.05968886613845825,1.0985596179962158,0.9988528490066528,0.0005,5,0.3,0.9150775074958801
4,0.08197520673274994,1.1365200281143188,0.998428463935852,0.0005,5,0.3,0.885599672794342
5,0.10503067076206207,1.1765105724334717,0.9979908466339111,0.0005,5,0.3,0.8562557697296143
6,0.12879693508148193,1.2184637784957886,0.9975406527519226,0.0005,5,0.3,0.8270809054374695
7,0.1532057225704193,1.262325644493103,0.9970806241035461,0.0005,5,0.3,0.7983396053314209
8,0.17819403111934662,1.3079426288604736,0.9966112971305847,0.0005,5,0.3,0.7701021432876587
9,0.20380422472953796,1.3552905321121216,0.9961357116699219,0.0005,5,0.3,0.7423840761184692
10,0.23022180795669556,1.4045910835266113,0.9956516027450562,0.0005,5,0.3,0.7150541543960571
11,0.25738033652305603,1.4555813074111938,0.9951586723327637,0.0005,5,0.3,0.6882349252700806
12,0.28525808453559875,1.5078741312026978,0.9946600198745728,0.0005,5,0.3,0.6633008718490601
13,0.3137761354446411,1.5608652830123901,0.9941636919975281,0.0005,5,0.3,0.6403886079788208
14,0.34283626079559326,1.613657832145691,0.993678092956543,0.0005,5,0.3,0.6207278966903687
15,0.37228554487228394,1.665340542793274,0.9932085871696472,0.0005,5,0.3,0.6052201390266418
16,0.4019264876842499,1.7149523496627808,0.9927628040313721,0.0005,5,0.3,0.5882481932640076
17,0.4321204423904419,1.7607909440994263,0.9923142790794373,0.0005,5,0.3,0.5672982931137085
18,0.4630444645881653,1.8024154901504517,0.9918720722198486,0.0005,5,0.3,0.5480454564094543
19,0.4942362606525421,1.8402923345565796,0.9914387464523315,0.0005,5,0.3,0.5305095314979553
20,0.5256960988044739,1.8739399909973145,0.9910066723823547,0.0005,5,0.3,0.5146641135215759
21,0.5570134520530701,1.9030530452728271,0.9905766844749451,0.0005,5,0.3,0.5007052421569824
22,0.5881668925285339,1.9275392293930054,0.9901499152183533,0.0005,5,0.3,0.48867690563201904
23,0.6190891265869141,1.9475600719451904,0.9897305369377136,0.0005,5,0.3,0.4787503182888031
24,0.6493997573852539,1.9626948833465576,0.9893255829811096,0.0005,5,0.3,0.4711666405200958
25,0.6797246932983398,1.9738162755966187,0.9889277219772339,0.0005,5,0.3,0.4660436809062958
26,0.708740770816803,1.9811692237854004,0.9885448813438416,0.0005,5,0.3,0.4630959630012512
27,0.7360024452209473,1.985063076019287,0.9881821870803833,0.0005,5,0.3,0.46251943707466125
28,0.7616335153579712,1.9864492416381836,0.9878494143486023,0.0005,5,0.3,0.463817298412323
29,0.7854394912719727,1.9865005016326904,0.9875352382659912,0.0005,5,0.3,0.4666759967803955
30,0.8077689409255981,1.986175775527954,0.9872368574142456,0.0005,5,0.3,0.47028395533561707
31,0.8294299244880676,1.985161304473877,0.9869431853294373,0.0005,5,0.3,0.474265992641449
32,0.8510118126869202,1.982702612876892,0.9866555333137512,0.0005,5,0.3,0.47855183482170105
33,0.8719017505645752,1.9786062240600586,0.9863712191581726,0.0005,5,0.3,0.4828542470932007
34,0.8945301175117493,1.9725925922393799,0.9860954284667969,0.0005,5,0.3,0.48720502853393555
35,0.9170452356338501,1.9646271467208862,0.9858278632164001,0.0005,5,0.3,0.49123960733413696
36,0.9391620755195618,1.955379843711853,0.9855617880821228,0.0005,5,0.3,0.4945998191833496
37,0.9611496925354004,1.9451574087142944,0.9852901697158813,0.0005,5,0.3,0.49744877219200134
38,0.9832002520561218,1.9347755908966064,0.9850025773048401,0.0005,5,0.3,0.4890732765197754
39,1.0051798820495605,1.924843430519104,0.984706699848175,0.0005,5,0.3,0.48030030727386475
40,1.0274159908294678,1.9157772064208984,0.9843937754631042,0.0005,5,0.3,0.47139400243759155
41,1.0500078201293945,1.9075132608413696,0.9840736985206604,0.0005,5,0.3,0.4626751244068146
42,1.0732603073120117,1.9151453971862793,0.9837397933006287,0.0005,5,0.3,0.4540376365184784
43,1.0971152782440186,1.9378068447113037,0.9833835363388062,0.0005,5,0.3,0.4453800618648529
44,1.1211544275283813,1.9587024450302124,0.9830158948898315,0.0005,5,0.3,0.4367446005344391
45,1.1445748805999756,1.977849006652832,0.9826492071151733,0.0005,5,0.3,0.4283076226711273
46,1.1671799421310425,1.9945470094680786,0.9822864532470703,0.0005,5,0.3,0.4200737774372101
47,1.188137412071228,2.009368896484375,0.9819315671920776,0.0005,5,0.3,0.41264474391937256
48,1.2069180011749268,2.0217833518981934,0.9815985560417175,0.0005,5,0.3,0.40627866983413696
49,1.2235032320022583,2.0315756797790527,0.9812731742858887,0.0005,5,0.3,0.40094470977783203
50,1.2378185987472534,2.038883686065674,0.9809682369232178,0.0005,5,0.3,0.39668628573417664
51,1.2502354383468628,2.043283462524414,0.980666995048523,0.0005,5,0.3,0.3927036225795746
52,1.2608988285064697,2.044816017150879,0.9803666472434998,0.0005,5,0.3,0.38954558968544006
53,1.2699469327926636,2.0434536933898926,0.9800462126731873,0.0005,5,0.3,0.3869512379169464
54,1.277583122253418,2.0397889614105225,0.9796987175941467,0.0005,5,0.3,0.38483408093452454
55,1.2836092710494995,2.042440891265869,0.9793184399604797,0.0005,5,0.3,0.3830474019050598
56,1.2884860038757324,2.0610921382904053,0.9789207577705383,0.0005,5,0.3,0.3813287615776062
57,1.2921943664550781,2.0781354904174805,0.9785199761390686,0.0005,5,0.3,0.37946122884750366
58,1.295777440071106,2.0937039852142334,0.9781193137168884,0.0005,5,0.3,0.3770788609981537
59,1.2997071743011475,2.1078929901123047,0.9777259230613708,0.0005,5,0.3,0.37413913011550903
60,1.3028736114501953,2.119777202606201,0.9773863554000854,0.0005,5,0.3,0.3711693286895752
61,1.3056381940841675,2.128950357437134,0.9770969152450562,0.0005,5,0.3,0.36823225021362305
62,1.308565616607666,2.1359705924987793,0.9768289923667908,0.0005,5,0.3,0.36532002687454224
63,1.311802625656128,2.1409754753112793,0.9765677452087402,0.0005,5,0.3,0.36211636662483215
64,1.315935492515564,2.1440980434417725,0.9763161540031433,0.0005,5,0.3,0.3584554195404053
65,1.3210233449935913,2.1460134983062744,0.9760777950286865,0.0005,5,0.3,0.35433229804039
66,1.3268671035766602,2.1492230892181396,0.9758315682411194,0.0005,5,0.3,0.3498310148715973
67,1.3326926231384277,2.154423475265503,0.9755802750587463,0.0005,5,0.3,0.3453952372074127
68,1.3381253480911255,2.161457061767578,0.9753084182739258,0.0005,5,0.3,0.34144678711891174
69,1.3427700996398926,2.1680819988250732,0.975017249584198,0.0005,5,0.3,0.3382171392440796
70,1.3469195365905762,2.1731607913970947,0.9747186303138733,0.0005,5,0.3,0.33539217710494995
71,1.350060224533081,2.174748659133911,0.9744293689727783,0.0005,5,0.3,0.33273863792419434
72,1.3528401851654053,2.176823377609253,0.9741778373718262,0.0005,5,0.3,0.3299599885940552
73,1.3550959825515747,2.178100347518921,0.9739637970924377,0.0005,5,0.3,0.3270312547683716
74,1.3562874794006348,2.178372859954834,0.9737692475318909,0.0005,5,0.3,0.32393336296081543
75,1.3564826250076294,2.1742451190948486,0.9736230373382568,0.0005,5,0.3,0.3207133710384369
76,1.3571181297302246,2.167210102081299,0.9734879732131958,0.0005,5,0.3,0.31711408495903015
77,1.3578592538833618,2.158404588699341,0.9733679294586182,0.0005,5,0.3,0.3135001063346863
78,1.3591532707214355,2.162655830383301,0.9732528328895569,0.0005,5,0.3,0.3101218342781067
79,1.3609731197357178,2.1906447410583496,0.9731312394142151,0.0005,5,0.3,0.307056188583374
80,1.3634058237075806,2.214735269546509,0.9730054140090942,0.0005,5,0.3,0.30428627133369446
81,1.3675858974456787,2.238602638244629,0.9728596210479736,0.0005,5,0.3,0.3010960817337036
82,1.3724632263183594,2.2654659748077393,0.9727073907852173,0.0005,5,0.3,0.2972729206085205
83,1.3766512870788574,2.293583393096924,0.9725708365440369,0.0005,5,0.3,0.29313403367996216
84,1.38015878200531,2.3209047317504883,0.9724637866020203,0.0005,5,0.3,0.2888742983341217
85,1.3824223279953003,2.342700958251953,0.9723899960517883,0.0005,5,0.3,0.28509601950645447
86,1.383965253829956,2.3598473072052,0.9723502993583679,0.0005,5,0.3,0.2818574607372284
87,1.385467290878296,2.3716728687286377,0.9722943902015686,0.0005,5,0.3,0.27908259630203247
88,1.388176441192627,2.38254714012146,0.9721947312355042,0.0005,5,0.3,0.2764527201652527
89,1.3931093215942383,2.3997199535369873,0.9720903635025024,0.0005,5,0.3,0.27388089895248413
90,1.400378942489624,2.4238803386688232,0.9719754457473755,0.0005,5,0.3,0.27059704065322876
91,1.4077448844909668,2.455672025680542,0.9718691110610962,0.0005,5,0.3,0.26744064688682556
92,1.4154233932495117,2.4847419261932373,0.9717761874198914,0.0005,5,0.3,0.2648462653160095
93,1.421515703201294,2.5001332759857178,0.9716545343399048,0.0005,5,0.3,0.2633078694343567
94,1.4270918369293213,2.5115506649017334,0.9715207815170288,0.0005,5,0.3,0.2619935870170593
95,1.431876301765442,2.5207133293151855,0.9714027643203735,0.0005,5,0.3,0.260490357875824
96,1.4366519451141357,2.5256285667419434,0.9712721705436707,0.0005,5,0.3,0.2585814595222473
97,1.441695213317871,2.522287130355835,0.9711419939994812,0.0005,5,0.3,0.2566690742969513
98,1.4470784664154053,2.5190134048461914,0.9710163474082947,0.0005,5,0.3,0.2542308270931244
99,1.4516816139221191,2.5186147689819336,0.9709181785583496,0.0005,5,0.3,0.25166046619415283
